381	17	Standard
382	560	01298
383	561	03502
383	562	03804
384	17	Standard
385	563	03337
385	564	04078
386	565	01166
386	566	04078
386	567	151138
387	568	02437
387	569	03253
388	17	Standard
389	17	Standard
389	570	05232
390	571	258937
390	572	258937
391	573	214349
392	17	Standard
392	574	00242
392	575	01540
393	17	Standard
393	576	01819
394	577	10849
395	181	12559
395	578	15207
395	579	13874
396	17	Standard
397	580	181987
398	17	Standard
399	581	176607
400	582	15407
401	17	Standard
401	583	09406
401	584	00309
402	585	57926
402	586	57926
402	587	00589
402	588	09066
403	17	Standard
404	589	262382
404	590	01761
404	591	03904
404	592	262382
405	593	295906
405	594	295906
406	17	Standard
407	595	05788
407	596	03459
408	17	Standard
408	597	10160
408	598	08899
409	599	12027
409	600	10410
410	601	133358
411	17	Standard
411	602	09567
412	254	133796
413	17	Standard
414	603	05436
414	604	03722
415	605	09124
415	606	09124
416	607	16291
417	608	06059
417	609	05460
418	17	Standard
419	17	Standard
420	610	05587
420	611	02480
421	612	199960
421	613	199960
422	614	11888
423	615	183223
424	17	Standard
424	616	01883
424	617	01419
425	17	Standard
426	17	Standard
427	618	09378
427	619	04310
428	620	05599
428	621	04078
429	17	Standard
429	622	02498
429	623	00058
430	624	00100
430	625	00354
431	626	17477
431	627	14382
432	17	Standard
432	628	07206
433	629	00401
433	630	00129
434	17	Standard
435	17	Standard
436	17	Standard
437	631	177905
438	84	218677
438	632	06901
438	633	03221
438	634	218677
439	17	Standard
440	635	11645
441	17	Standard
442	17	Standard
443	636	05280
443	637	01242
444	638	05322
444	639	03538
445	640	301664
445	641	301664
446	642	295678
446	643	04534
446	644	00447
447	645	18043
448	646	00579
448	647	09765
449	17	Standard
450	17	Standard
451	648	00757
451	649	00078
452	650	03312
452	651	02407
453	62	295786
454	652	02740
454	653	00391
455	654	185668
456	17	Standard
457	655	177823
458	656	01301
458	657	02378
459	658	10068
460	659	00026
460	660	00026
461	661	05831
462	662	15992
463	663	12500
464	664	03740
464	665	04459
465	666	09515
465	667	03468
466	668	262676
466	669	262676
467	670	00745
467	671	01050
468	672	11820
469	17	Standard
470	17	Standard
471	17	Standard
472	17	Standard
472	673	00675
473	17	Standard
474	674	13748
474	675	16145
475	84	218245
476	676	14380
477	17	Standard
478	677	05490
478	678	02971
479	17	Standard
480	679	01268
481	680	02563
482	681	02189
482	682	04188
483	683	13000
484	684	01821
484	685	00947
485	686	05631
486	687	04078
487	688	262791
487	689	262791
488	17	Standard
489	690	04858
489	691	01577
490	692	178284
491	473	134261
492	693	04128
492	694	03109
493	695	182821
494	696	10195
494	697	01164
495	698	05222
496	699	215082
497	700	214268
498	701	05365
498	702	03834
499	17	Standard
500	703	04011
500	704	02094
501	705	12882
501	706	12882
502	17	Standard
502	707	01719
502	708	03959
503	709	03329
503	710	06340
504	711	12107
504	712	16220
505	17	Standard
506	17	Standard
507	713	182682
508	17	Standard
509	714	00398
509	715	00402
510	716	214287
511	17	Standard
511	717	01300
511	718	02364
512	719	16736
513	720	04263
513	721	01888
514	722	01152
515	17	Standard
516	254	133691
517	723	312433
518	17	Standard
518	724	02819
518	725	02777
519	726	209291
520	17	Standard
520	727	05609
520	728	04634
521	17	Standard
522	729	01281
523	730	00339
523	731	02621
524	732	10419
525	733	193
526	17	Standard
527	734	03334
527	735	02712
528	736	02570
528	737	01866
529	738	128180
530	17	Standard
531	739	05838
531	740	03538
532	741	05600
532	742	03364
533	17	Standard
533	743	00100
534	17	Standard
535	744	04360
535	745	02526
536	746	315572
537	17	Standard
538	747	04026
538	748	00901
539	749	10445
539	750	02788
540	751	295183
540	752	295183
541	17	Standard
542	17	Standard
543	753	00411
543	754	00198
544	84	218111
545	755	10407
546	756	00036
546	757	00037
547	17	Standard
547	758	10439
548	17	Standard
549	580	182068
550	759	02496
550	760	03131
551	761	18043
551	762	02095
552	17	Standard
552	763	146163
552	764	03375
552	765	04867
553	17	Standard
554	17	Standard
555	766	04587
555	767	02805
556	768	01726
556	769	03131
557	17	Standard
558	770	57928
558	17	Standard
558	771	03274
558	772	03390
558	773	57928
559	774	180379
560	775	04078
560	776	06907
561	777	09402
561	778	01140
562	17	Standard
562	779	02867
562	780	00298
563	17	Standard
564	781	00558
564	782	01180
565	17	Standard
566	246	149741
566	247	258884
566	783	258884
567	784	11005
568	251	183228
569	785	05957
569	786	02607
570	787	01285
571	788	07370
571	789	06109
572	790	10849
573	17	Standard
574	791	02709
574	792	02502
575	17	Standard
575	793	05872
575	794	04318
576	795	04070
576	796	00215
577	797	16372
578	17	Standard
578	798	05374
578	799	01267
579	800	130584
580	801	02714
580	802	02541
581	803	08854
582	804	03183
582	805	00943
583	806	03833
583	807	04031
584	808	02437
584	809	04026
585	810	16383
586	17	Standard
587	811	04078
587	812	02622
588	813	16740
588	814	00977
589	17	Standard
590	815	05026
590	816	01285
591	17	Standard
591	817	04015
591	818	03927
592	17	Standard
593	819	04462
593	820	03459
594	84	218635
595	17	Standard
595	821	03909
595	822	04654
596	17	Standard
597	17	Standard
598	17	Standard
599	823	17244
600	17	Standard
601	824	06104
601	825	07362
602	826	182448
602	827	182448
603	828	00679
603	829	03646
604	830	10443
604	831	04636
605	17	Standard
606	84	218242
607	832	05352
608	833	16425
609	30	200105
609	834	03183
609	835	03623
609	836	200105
610	837	02810
610	838	02809
611	839	11981
611	840	08380
612	841	01228
613	17	Standard
614	383	182250
614	842	182250
614	843	217456
615	844	262282
615	845	262282
616	17	Standard
617	846	11618
618	383	194883
618	847	194883
618	848	217454
619	849	315562
620	850	01565
620	851	06591
621	852	13175
621	17	Standard
621	853	05815
621	854	04585
621	855	13175
622	856	12748
622	857	01850
622	858	12748
623	859	71005
623	860	00214
623	861	01219
623	862	00214
624	17	Standard
625	863	16362
626	17	Standard
627	84	218153
628	17	Standard
628	864	06014
628	865	06020
629	246	149741
630	866	11965
630	867	15985
631	868	01819
632	869	10393
632	870	01188
633	17	Standard
633	871	07185
633	872	01577
634	873	15983
635	874	01173
636	875	01284
636	876	02635
637	17	Standard
638	877	217794
639	878	09670
639	879	01907
639	880	213
640	17	Standard
640	881	07231
640	882	06070
641	883	03958
642	884	00992
642	885	00932
642	886	153425
643	17	Standard
644	887	09211
644	888	01618
645	889	02029
645	890	00499
646	891	16197
647	892	17804
648	893	12642
648	894	00218
648	895	04232
648	292	12642
649	896	314471
650	897	01275
650	898	00443
651	899	08927
652	900	218772
652	901	218772
652	902	04193
652	903	11607
653	17	Standard
654	904	134422
654	905	18010
655	906	12460
656	907	03031
656	908	00286
657	909	01475
657	910	03026
658	84	218304
659	911	00442
659	912	01801
660	913	08863
661	914	01630
661	915	00054
662	916	01966
663	917	04737
663	918	08994
664	919	10280
664	920	03449
665	921	12086
665	922	12086
666	923	15914
667	924	09674
667	925	09113
668	17	Standard
668	926	00015
668	927	04068
669	17	Standard
670	928	01585
670	929	00241
671	930	09156
671	931	02172
672	932	193082
673	933	09207
674	17	Standard
675	934	06090
675	935	00222
675	936	00222
675	937	06090
676	938	04684
676	939	01541
677	17	Standard
677	940	01740
677	941	03832
678	942	00113
678	943	00399
679	17	Standard
680	944	03012
680	945	04210
681	856	24478
681	946	24478
682	947	85213
682	948	01812
682	949	01993
683	950	02792
683	951	02568
684	952	01729
684	953	08923
685	954	185529
685	955	185529
686	956	12199
687	957	01045
688	17	Standard
688	958	02167
689	959	03402
690	960	13775
690	961	11689
691	962	12527
692	963	00340
692	964	03791
693	965	02730
693	966	15983
694	967	10260
694	968	11858
695	17	Standard
695	969	03544
695	970	01154
696	971	218088
696	972	218088
697	973	00579
697	974	04669
698	975	16234
699	976	09321
699	977	03628
700	17	Standard
701	978	05406
701	979	00475
702	980	12875
702	17	Standard
702	981	05380
702	982	12875
702	983	00136
703	984	177698
704	985	03374
704	986	00918
705	987	262156
706	988	00232
707	989	10936
708	990	182537
708	991	12257
709	992	00061
709	993	07030
710	994	06090
710	995	03221
711	996	11476
712	997	00697
712	998	04663
713	999	12337
714	1000	10407
715	17	Standard
716	1001	04310
716	1002	05389
716	1003	05389
717	1004	02561
717	1005	08864
718	1006	181949
718	688	262790
718	1007	16557
718	1008	181949
718	1009	262790
719	17	Standard
719	1010	151565
719	1011	153552
720	1012	177226
720	1013	209043
720	1014	02217
720	1015	04462
720	1016	209043
721	1017	06372
721	1018	01552
722	1019	00279
722	1020	03995
723	17	Standard
723	1021	06385
723	1022	03109
724	1023	03751
725	1024	182175
725	1025	182175
726	1026	04859
726	1027	07205
727	1028	16826
728	17	Standard
729	17	Standard
729	1029	05457
729	1030	02409
730	17	Standard
731	17	Standard
732	17	Standard
733	17	Standard
734	1031	09544
734	1032	04839
735	17	Standard
736	17	Standard
737	17	Standard
738	1033	197139
738	1034	03479
738	1035	04579
738	1036	197139
739	1037	12018
740	1038	02859
741	1039	01765
741	1040	01821
742	1041	01820
742	1042	01281
742	1043	01820
743	1044	10280
744	17	Standard
745	1045	02547
745	1046	00992
746	1047	06124
746	1048	00920
747	1049	01681
747	1050	03898
748	1051	03937
748	1052	01267
749	1053	03943
749	1054	00756
750	1055	00738
750	1056	00297
751	17	Standard
752	695	182821
753	17	Standard
754	1057	01258
755	1058	185462
755	1059	185459
755	1060	185462
756	1061	06039
756	1062	06844
757	17	Standard
758	1063	04391
758	1064	01050
758	1065	01050
759	17	Standard
760	1066	00182
760	1067	05263
761	17	Standard
762	1068	00396
762	1069	01524
763	17	Standard
764	17	Standard
764	1070	02557
764	1071	03025
765	1072	01020
765	1073	00223
766	17	Standard
767	1074	01660
767	1075	02509
768	1076	214362
769	17	Standard
770	17	Standard
771	17	Standard
771	1077	00150
771	1078	00634
772	1079	81839
772	1080	02856
772	1081	01784
773	17	Standard
774	1082	11631
774	1083	14381
775	1084	05887
775	1085	04325
776	17	Standard
777	1086	128222
777	1087	01796
777	1088	00883
777	1089	128222
778	17	Standard
779	1090	01900
780	1091	02767
780	1092	09424
781	17	Standard
782	17	Standard
782	1093	11734
783	1094	09066
783	1095	02612
784	17	Standard
785	1096	11656
786	1097	06430
786	1098	04199
787	1099	01799
787	1100	02511
788	246	149741
788	247	196687
788	1101	259822
788	1102	196687
789	17	Standard
790	1103	00026
790	1104	00026
790	1105	01000
791	1106	01475
791	1107	04228
792	17	Standard
793	1108	01241
794	1109	00993
794	1110	03312
795	1111	00589
795	1112	04042
796	17	Standard
797	1113	80120
797	1114	01238
797	1115	01235
797	1116	182788
798	1117	04047
798	1118	00100
799	1119	01302
800	1120	12355
801	1121	04434
802	17	Standard
803	1122	02563
803	1123	00579
803	1124	00579
804	17	Standard
804	1125	05085
804	1126	06980
804	1127	146567
805	1128	02990
805	1129	02303
806	1130	17642
807	17	Standard
808	17	Standard
808	1131	01475
808	1132	06849
809	1133	01269
809	1134	295337
810	1135	04556
810	1136	00023
811	17	Standard
811	1137	05294
811	1138	02847
812	1139	00988
812	1140	00995
813	17	Standard
814	1141	04610
815	1142	04070
815	1143	00026
816	17	Standard
817	1144	144515
818	1145	01152
818	1146	12157
819	1147	01139
819	1148	15922
820	1149	05838
820	1150	03833
821	17	Standard
822	1151	16019
823	17	Standard
824	1152	12014
825	1153	05406
825	1154	02273
826	17	Standard
827	1155	05125
827	1156	03150
828	1157	04220
828	1158	04199
829	17	Standard
830	1159	300794
830	1160	300794
831	1161	06347
831	1162	01809
832	1163	00213
832	1164	00107
833	17	Standard
833	1165	04585
833	1166	03538
834	84	218104
835	1167	178391
835	1168	03184
835	1169	300598
835	1170	00307
836	1171	04387
837	1172	58077
837	1173	08874
838	1174	03183
838	1175	03965
839	1176	09509
839	1177	06203
840	17	Standard
841	1178	00135
841	1179	03024
842	1180	209310
843	580	182071
843	1181	01859
843	1182	09071
843	1183	09071
844	84	217980
844	1184	196379
844	1185	03221
844	1186	01822
844	1187	217980
845	1188	01301
845	1189	05558
846	17	Standard
847	1190	03494
847	1191	01825
848	17	Standard
849	17	Standard
850	17	Standard
851	17	Standard
852	17	Standard
853	17	Standard
853	1192	02384
853	1193	00169
854	1194	00354
855	1195	03660
855	1196	00360
856	1197	00360
856	1198	07452
857	1199	216077
858	17	Standard
858	1200	10995
859	1201	01050
859	1202	01475
860	1203	11858
860	1204	14795
861	1205	04485
862	17	Standard
863	1206	03786
863	1207	02301
864	17	Standard
864	1208	00150
865	17	Standard
866	84	218301
867	17	Standard
867	1209	00300
867	1210	00302
868	1211	06091
868	1212	00133
869	17	Standard
870	1213	00589
870	1214	05140
871	1215	312435
872	1216	07565
872	1217	04767
873	1218	17235
874	1219	04653
874	1220	04231
875	17	Standard
875	1221	00500
875	1222	00655
876	1223	01964
876	1224	00120
877	1225	14684
878	17	Standard
878	1226	145577
879	1227	00279
879	1228	00622
880	1229	12028
880	1230	15126
881	17	Standard
882	84	218114
883	1231	12672
884	1232	16016
885	17	Standard
885	1233	06410
885	1234	02637
886	1235	178699
887	1236	01092
887	1237	00774
888	1238	00296
888	1239	00679
889	17	Standard
889	1240	09023
889	1241	01131
889	1242	01131
890	1243	01717
890	1244	02637
891	1245	177899
891	1246	04632
891	1247	01278
892	17	Standard
893	17	Standard
893	1248	02744
893	1249	02498
894	17	Standard
895	1250	75892
895	1251	11803
896	1252	02732
896	1253	01304
897	1254	02235
897	1255	01261
898	601	133358
899	1256	02347
899	1257	02230
900	17	Standard
901	1258	03958
902	1259	01683
903	1260	06847
903	1261	00281
904	17	Standard
905	17	Standard
905	1262	00802
905	1263	01820
905	1264	128128
906	84	218133
907	1265	02878
907	1266	02547
908	1267	04677
908	1268	03479
909	17	Standard
910	1269	11978
910	1270	11820
911	17	Standard
912	1271	03337
912	1272	06780
913	17	Standard
914	1273	01976
915	17	Standard
916	17	Standard
917	17	Standard
918	17	Standard
919	1274	177962
919	1275	04531
919	1276	02583
920	17	Standard
920	1277	151775
921	1278	10230
921	1279	06769
922	1280	108640
922	1281	09677
922	1282	00286
923	1283	01809
924	1284	11979
